FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDel15,ArrDelay,ArrDel15,Cancelled,CancellationCode,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2022-01-02,United,N577XX,4663,ATL,CityName,State,LAX,CityName,State,30,1,33,1,0,,101,158,33,0,0,0,0
2022-01-02,United,N875XX,6353,MIA,CityName,State,SEA,CityName,State,0,0,4,0,0,,59,808,0,0,0,0,0
2022-01-02,American,N955XX,4269,ATL,CityName,State,BOS,CityName,State,0,0,-8,0,0,,225,2653,0,0,0,0,0
2022-01-02,Southwest,N762XX,8485,BOS,CityName,State,SFO,CityName,State,15,1,19,1,0,,273,2434,0,0,19,0,0
2022-01-02,United,N882XX,792,BOS,CityName,State,SFO,CityName,State,0,0,-13,0,0,,308,1858,0,0,0,0,0
2022-01-02,JetBlue,N523XX,9085,SFO,CityName,State,ORD,CityName,State,15,1,4,0,0,,177,960,0,0,0,0,0
2022-01-02,American,N668XX,823,JFK,CityName,State,BOS,CityName,State,0,0,7,0,0,,274,1583,0,0,0,0,0
2022-01-02,JetBlue,N631XX,9178,SFO,CityName,State,SEA,CityName,State,0,0,-3,0,0,,240,1428,0,0,0,0,0
2022-01-02,Southwest,N161XX,2315,BOS,CityName,State,BOS,CityName,State,0,0,7,0,0,,74,1379,0,0,0,0,0
2022-01-02,JetBlue,N801XX,7612,SFO,CityName,State,DFW,CityName,State,0,0,6,0,0,,266,551,0,0,0,0,0
2022-01-03,JetBlue,N635XX,8272,ATL,CityName,State,ORD,CityName,State,0,0,4,0,0,,255,1610,0,0,0,0,0
2022-01-03,JetBlue,N508XX,2594,ATL,CityName,State,SFO,CityName,State,0,0,0,0,1,A,185,2797,0,0,0,0,0
2022-01-03,Delta,N141XX,5605,DEN,CityName,State,BOS,CityName,State,15,1,22,1,0,,144,754,22,0,0,0,0
2022-01-03,American,N718XX,6960,LAX,CityName,State,LAX,CityName,State,0,0,-1,0,0,,104,1554,0,0,0,0,0
2022-01-03,Delta,N467XX,2919,LAX,CityName,State,MIA,CityName,State,0,0,-11,0,0,,97,1997,0,0,0,0,0
2022-01-03,JetBlue,N442XX,1198,JFK,CityName,State,ORD,CityName,State,0,0,-4,0,0,,196,1030,0,0,0,0,0
2022-01-03,Delta,N940XX,8101,BOS,CityName,State,SEA,CityName,State,30,1,16,1,0,,322,1235,0,16,0,0,0
2022-01-03,Southwest,N251XX,1191,JFK,CityName,State,DEN,CityName,State,30,1,31,1,0,,294,1551,0,0,31,0,0
2022-01-03,Southwest,N837XX,1191,MIA,CityName,State,SFO,CityName,State,0,0,-6,0,0,,243,1888,0,0,0,0,0
2022-01-03,Southwest,N807XX,4064,SFO,CityName,State,SFO,CityName,State,0,0,-7,0,0,,129,2210,0,0,0,0,0
2022-01-03,United,N324XX,5133,SEA,CityName,State,ATL,CityName,State,60,1,47,1,0,,286,352,0,0,47,0,0
2022-01-03,United,N477XX,3247,SEA,CityName,State,ORD,CityName,State,0,0,3,0,0,,292,689,0,0,0,0,0
2022-01-03,JetBlue,N134XX,7614,BOS,CityName,State,JFK,CityName,State,45,1,45,1,0,,354,480,0,0,0,0,45
2022-01-04,Southwest,N764XX,1277,JFK,CityName,State,DFW,CityName,State,0,0,7,0,0,,243,911,0,0,0,0,0
2022-01-04,Delta,N814XX,3824,LAX,CityName,State,BOS,CityName,State,0,0,8,0,0,,282,2607,0,0,0,0,0
2022-01-04,Southwest,N255XX,195,JFK,CityName,State,SFO,CityName,State,0,0,-5,0,0,,270,2671,0,0,0,0,0
2022-01-04,American,N474XX,8278,JFK,CityName,State,ORD,CityName,State,0,0,-12,0,0,,318,2370,0,0,0,0,0
2022-01-04,Delta,N786XX,4447,BOS,CityName,State,BOS,CityName,State,0,0,-6,0,0,,257,794,0,0,0,0,0
2022-01-04,United,N108XX,686,MIA,CityName,State,SFO,CityName,State,0,0,-12,0,0,,138,1524,0,0,0,0,0
2022-01-04,American,N235XX,4148,DEN,CityName,State,LAX,CityName,State,0,0,0,0,0,,206,1907,0,0,0,0,0
2022-01-04,Southwest,N320XX,8431,MIA,CityName,State,DFW,CityName,State,60,1,47,1,0,,352,1345,47,0,0,0,0
2022-01-05,United,N910XX,3006,BOS,CityName,State,MIA,CityName,State,0,0,10,0,0,,153,1521,0,0,0,0,0
2022-01-05,JetBlue,N337XX,2326,ATL,CityName,State,MIA,CityName,State,0,0,-2,0,0,,47,2897,0,0,0,0,0
2022-01-05,JetBlue,N589XX,6874,LAX,CityName,State,MIA,CityName,State,0,0,0,0,0,,256,585,0,0,0,0,0
2022-01-05,American,N668XX,4907,SFO,CityName,State,BOS,CityName,State,0,0,6,0,0,,67,2470,0,0,0,0,0
2022-01-05,Delta,N574XX,6958,LAX,CityName,State,SFO,CityName,State,0,0,-1,0,0,,80,926,0,0,0,0,0
2022-01-05,American,N695XX,1745,ATL,CityName,State,SEA,CityName,State,60,1,70,1,0,,255,2873,0,70,0,0,0
2022-01-05,United,N205XX,8175,ATL,CityName,State,DFW,CityName,State,0,0,-5,0,0,,65,1083,0,0,0,0,0
2022-01-05,JetBlue,N866XX,4190,ATL,CityName,State,BOS,CityName,State,0,0,-1,0,0,,347,2702,0,0,0,0,0
2022-01-05,American,N667XX,6957,DFW,CityName,State,SEA,CityName,State,60,1,46,1,0,,221,274,0,0,46,0,0
2022-01-05,Delta,N680XX,5433,SFO,CityName,State,SFO,CityName,State,0,0,5,0,0,,301,2436,0,0,0,0,0
2022-01-05,American,N824XX,7935,JFK,CityName,State,BOS,CityName,State,0,0,-14,0,0,,89,321,0,0,0,0,0
2022-01-05,Southwest,N151XX,419,SEA,CityName,State,ORD,CityName,State,0,0,8,0,0,,199,1512,0,0,0,0,0
2022-01-05,JetBlue,N515XX,4648,BOS,CityName,State,ATL,CityName,State,0,0,6,0,0,,144,1497,0,0,0,0,0
2022-01-05,United,N531XX,7488,ORD,CityName,State,LAX,CityName,State,0,0,-3,0,0,,168,1206,0,0,0,0,0
2022-01-05,American,N741XX,1089,LAX,CityName,State,DFW,CityName,State,0,0,-9,0,0,,356,2791,0,0,0,0,0
2022-01-05,Southwest,N602XX,486,DFW,CityName,State,SFO,CityName,State,0,0,-12,0,0,,212,461,0,0,0,0,0
2022-01-05,American,N173XX,5136,DFW,CityName,State,LAX,CityName,State,0,0,10,0,0,,217,398,0,0,0,0,0
2022-01-05,Southwest,N295XX,3582,ORD,CityName,State,SEA,CityName,State,0,0,10,0,0,,303,797,0,0,0,0,0
2022-01-06,Southwest,N507XX,8848,ORD,CityName,State,ATL,CityName,State,15,1,11,0,0,,269,1342,0,0,0,0,0
2022-01-06,Delta,N991XX,4503,JFK,CityName,State,ATL,CityName,State,0,0,2,0,0,,69,1188,0,0,0,0,0
2022-01-06,American,N943XX,1086,SFO,CityName,State,ATL,CityName,State,15,1,20,1,0,,258,885,0,0,20,0,0
2022-01-06,United,N270XX,5335,SFO,CityName,State,ATL,CityName,State,0,0,-8,0,0,,157,875,0,0,0,0,0
2022-01-06,United,N336XX,1990,SEA,CityName,State,SEA,CityName,State,15,1,8,0,0,,65,1991,0,0,0,0,0
2022-01-06,American,N380XX,7143,MIA,CityName,State,LAX,CityName,State,0,0,-11,0,0,,285,2876,0,0,0,0,0
2022-01-06,United,N444XX,1129,ATL,CityName,State,ORD,CityName,State,0,0,6,0,0,,311,2650,0,0,0,0,0
2022-01-06,Delta,N671XX,8085,JFK,CityName,State,ATL,CityName,State,0,0,0,0,1,A,100,371,0,0,0,0,0
2022-01-06,Delta,N260XX,656,DFW,CityName,State,ATL,CityName,State,0,0,-14,0,0,,304,1840,0,0,0,0,0
2022-01-07,United,N160XX,9272,SEA,CityName,State,DFW,CityName,State,15,1,8,0,0,,63,432,0,0,0,0,0
2022-01-07,American,N968XX,7486,DEN,CityName,State,JFK,CityName,State,0,0,5,0,0,,257,1208,0,0,0,0,0
2022-01-07,Southwest,N106XX,4297,BOS,CityName,State,LAX,CityName,State,30,1,29,1,0,,354,796,0,0,29,0,0
2022-01-07,United,N509XX,8146,ATL,CityName,State,SFO,CityName,State,0,0,-1,0,0,,126,1099,0,0,0,0,0
2022-01-07,Southwest,N405XX,2763,BOS,CityName,State,JFK,CityName,State,15,1,4,0,0,,242,2574,0,0,0,0,0
2022-01-07,American,N562XX,8134,ORD,CityName,State,MIA,CityName,State,0,0,-14,0,0,,131,2435,0,0,0,0,0
2022-01-07,Delta,N103XX,4008,MIA,CityName,State,DFW,CityName,State,0,0,1,0,0,,262,2440,0,0,0,0,0
2022-01-07,JetBlue,N589XX,3506,DEN,CityName,State,DFW,CityName,State,0,0,-6,0,0,,114,878,0,0,0,0,0
2022-01-07,Southwest,N450XX,9738,ATL,CityName,State,DFW,CityName,State,0,0,-8,0,0,,258,930,0,0,0,0,0
2022-01-07,Southwest,N406XX,1330,BOS,CityName,State,JFK,CityName,State,15,1,14,0,0,,142,983,0,0,0,0,0
2022-01-07,American,N133XX,1588,JFK,CityName,State,DFW,CityName,State,0,0,-11,0,0,,217,516,0,0,0,0,0
2022-01-07,Delta,N524XX,9590,JFK,CityName,State,DFW,CityName,State,0,0,3,0,0,,324,1150,0,0,0,0,0
2022-01-07,American,N325XX,6409,BOS,CityName,State,JFK,CityName,State,0,0,6,0,0,,284,1381,0,0,0,0,0
2022-01-07,Southwest,N537XX,9907,BOS,CityName,State,DEN,CityName,State,0,0,-5,0,0,,243,1703,0,0,0,0,0
2022-01-07,Southwest,N127XX,8757,SEA,CityName,State,LAX,CityName,State,0,0,-5,0,0,,322,801,0,0,0,0,0
2022-01-08,JetBlue,N306XX,8117,DEN,CityName,State,DFW,CityName,State,0,0,2,0,0,,86,1264,0,0,0,0,0
2022-01-08,Southwest,N196XX,8826,ATL,CityName,State,DEN,CityName,State,15,1,15,1,0,,108,2847,0,0,15,0,0
2022-01-08,Delta,N302XX,2023,SEA,CityName,State,SEA,CityName,State,0,0,0,0,0,,150,2601,0,0,0,0,0
2022-01-08,Delta,N342XX,7735,DEN,CityName,State,DFW,CityName,State,60,1,0,0,1,A,203,2128,0,0,0,0,0
2022-01-08,Delta,N265XX,6758,DFW,CityName,State,MIA,CityName,State,120,1,119,1,0,,347,976,119,0,0,0,0
2022-01-08,Delta,N384XX,2914,ORD,CityName,State,DEN,CityName,State,0,0,4,0,0,,190,2130,0,0,0,0,0
2022-01-08,Southwest,N166XX,1686,JFK,CityName,State,ORD,CityName,State,0,0,0,0,0,,250,762,0,0,0,0,0
2022-01-08,United,N730XX,3572,DFW,CityName,State,DFW,CityName,State,0,0,-12,0,0,,284,2276,0,0,0,0,0
2022-01-08,Southwest,N773XX,8392,MIA,CityName,State,DFW,CityName,State,45,1,53,1,0,,294,1884,0,0,0,0,53
2022-01-08,JetBlue,N485XX,4021,MIA,CityName,State,ORD,CityName,State,0,0,4,0,0,,213,2865,0,0,0,0,0
2022-01-08,Southwest,N443XX,8863,LAX,CityName,State,SEA,CityName,State,0,0,-7,0,0,,69,2243,0,0,0,0,0
2022-01-08,JetBlue,N221XX,5151,SEA,CityName,State,MIA,CityName,State,0,0,-10,0,0,,241,2862,0,0,0,0,0
2022-01-08,Southwest,N695XX,2937,LAX,CityName,State,ORD,CityName,State,30,1,16,1,0,,327,972,0,0,16,0,0
2022-01-08,Delta,N604XX,2679,MIA,CityName,State,LAX,CityName,State,0,0,-13,0,0,,355,2963,0,0,0,0,0
2022-01-08,JetBlue,N902XX,4344,MIA,CityName,State,SEA,CityName,State,15,1,4,0,0,,282,2143,0,0,0,0,0
2022-01-08,American,N294XX,4929,SEA,CityName,State,DEN,CityName,State,0,0,7,0,0,,281,991,0,0,0,0,0
2022-01-08,United,N902XX,5061,DEN,CityName,State,LAX,CityName,State,0,0,-6,0,0,,164,418,0,0,0,0,0
2022-01-09,American,N805XX,901,SEA,CityName,State,SEA,CityName,State,0,0,-14,0,0,,221,2371,0,0,0,0,0
2022-01-09,JetBlue,N947XX,9307,SEA,CityName,State,ORD,CityName,State,0,0,-10,0,0,,67,407,0,0,0,0,0
2022-01-09,Southwest,N636XX,136,SFO,CityName,State,ATL,CityName,State,0,0,-4,0,0,,45,1452,0,0,0,0,0
2022-01-09,Southwest,N730XX,7521,SFO,CityName,State,ORD,CityName,State,15,1,1,0,0,,159,1770,0,0,0,0,0
2022-01-09,United,N108XX,4046,JFK,CityName,State,SEA,CityName,State,0,0,-12,0,0,,357,722,0,0,0,0,0
2022-01-09,Southwest,N164XX,6223,SEA,CityName,State,LAX,CityName,State,0,0,-8,0,0,,336,2077,0,0,0,0,0
2022-01-09,American,N174XX,3929,DEN,CityName,State,JFK,CityName,State,0,0,8,0,0,,297,252,0,0,0,0,0
2022-01-09,American,N531XX,7524,BOS,CityName,State,DFW,CityName,State,15,1,22,1,0,,359,2056,0,0,22,0,0
2022-01-09,American,N131XX,1657,LAX,CityName,State,DFW,CityName,State,0,0,3,0,0,,116,1503,0,0,0,0,0
2022-01-09,Southwest,N873XX,6887,BOS,CityName,State,JFK,CityName,State,0,0,-11,0,0,,332,2662,0,0,0,0,0
2022-01-09,JetBlue,N457XX,6795,BOS,CityName,State,DEN,CityName,State,0,0,-13,0,0,,53,2783,0,0,0,0,0
2022-01-10,American,N317XX,8373,MIA,CityName,State,JFK,CityName,State,0,0,-10,0,0,,221,1809,0,0,0,0,0
2022-01-10,United,N234XX,1173,ORD,CityName,State,ORD,CityName,State,0,0,10,0,0,,214,2189,0,0,0,0,0
2022-01-10,Delta,N435XX,182,MIA,CityName,State,SFO,CityName,State,0,0,-5,0,0,,323,190,0,0,0,0,0
2022-01-10,JetBlue,N776XX,4030,ATL,CityName,State,ATL,CityName,State,0,0,5,0,0,,222,2558,0,0,0,0,0
2022-01-10,United,N329XX,9599,BOS,CityName,State,DFW,CityName,State,0,0,8,0,0,,165,336,0,0,0,0,0
2022-01-10,American,N332XX,951,ATL,CityName,State,LAX,CityName,State,0,0,-10,0,0,,321,363,0,0,0,0,0
2022-01-10,JetBlue,N440XX,4426,ORD,CityName,State,LAX,CityName,State,0,0,-12,0,0,,58,2736,0,0,0,0,0
2022-01-10,Delta,N178XX,2755,DFW,CityName,State,SFO,CityName,State,60,1,52,1,0,,276,1980,52,0,0,0,0
2022-01-10,United,N176XX,3780,JFK,CityName,State,DEN,CityName,State,60,1,60,1,0,,321,2882,0,60,0,0,0
2022-01-10,American,N866XX,5058,ATL,CityName,State,DEN,CityName,State,0,0,-7,0,0,,218,2910,0,0,0,0,0
2022-01-10,American,N900XX,906,SEA,CityName,State,BOS,CityName,State,0,0,-1,0,0,,269,2808,0,0,0,0,0
2022-01-10,United,N915XX,5133,MIA,CityName,State,JFK,CityName,State,0,0,6,0,0,,208,2731,0,0,0,0,0
2022-01-10,JetBlue,N744XX,7633,SEA,CityName,State,JFK,CityName,State,0,0,0,0,0,,135,1873,0,0,0,0,0
2022-01-10,Southwest,N559XX,8380,BOS,CityName,State,JFK,CityName,State,0,0,6,0,0,,145,340,0,0,0,0,0
2022-01-11,Delta,N938XX,3424,SFO,CityName,State,DEN,CityName,State,45,1,0,0,1,A,223,2273,0,0,0,0,0
2022-01-11,JetBlue,N263XX,6189,SEA,CityName,State,DFW,CityName,State,0,0,-12,0,0,,204,1243,0,0,0,0,0
2022-01-11,Delta,N965XX,1788,MIA,CityName,State,ORD,CityName,State,0,0,-10,0,0,,176,2928,0,0,0,0,0
2022-01-11,Southwest,N511XX,3273,DFW,CityName,State,BOS,CityName,State,15,1,11,0,0,,132,848,0,0,0,0,0
2022-01-11,United,N135XX,6950,ORD,CityName,State,DEN,CityName,State,0,0,-14,0,0,,197,795,0,0,0,0,0
2022-01-11,Southwest,N828XX,5860,SFO,CityName,State,BOS,CityName,State,0,0,9,0,0,,108,784,0,0,0,0,0
2022-01-11,United,N559XX,7835,BOS,CityName,State,LAX,CityName,State,0,0,-11,0,0,,99,2738,0,0,0,0,0
2022-01-11,Delta,N524XX,277,SFO,CityName,State,SFO,CityName,State,0,0,2,0,0,,297,1253,0,0,0,0,0
2022-01-11,American,N739XX,8660,SFO,CityName,State,ATL,CityName,State,0,0,-9,0,0,,188,1803,0,0,0,0,0
2022-01-11,Southwest,N364XX,384,BOS,CityName,State,ATL,CityName,State,15,1,16,1,0,,275,2470,0,0,0,0,16
2022-01-11,Southwest,N259XX,1193,JFK,CityName,State,ATL,CityName,State,0,0,7,0,0,,349,2694,0,0,0,0,0
2022-01-11,JetBlue,N654XX,6582,BOS,CityName,State,ORD,CityName,State,15,1,7,0,0,,303,1554,0,0,0,0,0
2022-01-11,United,N344XX,1672,ORD,CityName,State,MIA,CityName,State,0,0,6,0,0,,83,2202,0,0,0,0,0
2022-01-11,American,N222XX,5746,LAX,CityName,State,SEA,CityName,State,30,1,35,1,0,,331,1011,0,0,35,0,0
2022-01-11,Delta,N295XX,5363,ORD,CityName,State,BOS,CityName,State,0,0,9,0,0,,274,1657,0,0,0,0,0
2022-01-12,Delta,N194XX,8273,SFO,CityName,State,JFK,CityName,State,0,0,3,0,0,,275,513,0,0,0,0,0
2022-01-12,JetBlue,N375XX,179,ORD,CityName,State,ATL,CityName,State,15,1,18,1,0,,54,1951,18,0,0,0,0
2022-01-12,Southwest,N763XX,7122,JFK,CityName,State,LAX,CityName,State,0,0,0,0,1,A,145,2492,0,0,0,0,0
2022-01-12,JetBlue,N410XX,9890,ORD,CityName,State,ATL,CityName,State,0,0,6,0,0,,343,912,0,0,0,0,0
2022-01-12,United,N324XX,8038,SEA,CityName,State,DFW,CityName,State,0,0,-13,0,0,,76,1551,0,0,0,0,0
2022-01-12,American,N730XX,6457,DEN,CityName,State,JFK,CityName,State,0,0,-13,0,0,,282,1015,0,0,0,0,0
2022-01-12,JetBlue,N576XX,480,JFK,CityName,State,DEN,CityName,State,0,0,3,0,0,,145,2363,0,0,0,0,0
2022-01-12,Delta,N589XX,3403,DFW,CityName,State,BOS,CityName,State,0,0,-11,0,0,,309,1876,0,0,0,0,0
2022-01-12,American,N487XX,9660,SFO,CityName,State,LAX,CityName,State,0,0,-14,0,0,,247,1594,0,0,0,0,0
2022-01-12,United,N755XX,8082,ATL,CityName,State,ORD,CityName,State,45,1,50,1,0,,318,208,0,0,50,0,0
2022-01-12,Southwest,N679XX,630,JFK,CityName,State,SEA,CityName,State,0,0,8,0,0,,285,260,0,0,0,0,0
2022-01-12,United,N312XX,7691,LAX,CityName,State,DEN,CityName,State,0,0,-7,0,0,,79,2346,0,0,0,0,0
2022-01-12,United,N598XX,1133,SEA,CityName,State,JFK,CityName,State,0,0,-3,0,0,,202,2845,0,0,0,0,0
2022-01-12,American,N926XX,1144,MIA,CityName,State,SFO,CityName,State,0,0,10,0,0,,296,1586,0,0,0,0,0
2022-01-12,Delta,N650XX,8347,BOS,CityName,State,ORD,CityName,State,0,0,-5,0,0,,287,773,0,0,0,0,0
2022-01-12,Southwest,N940XX,2307,JFK,CityName,State,JFK,CityName,State,45,1,35,1,0,,137,722,35,0,0,0,0
2022-01-12,JetBlue,N973XX,9055,ORD,CityName,State,SFO,CityName,State,0,0,5,0,0,,239,2122,0,0,0,0,0
2022-01-12,Delta,N641XX,8262,SEA,CityName,State,ATL,CityName,State,0,0,7,0,0,,109,821,0,0,0,0,0
2022-01-13,American,N638XX,4877,MIA,CityName,State,JFK,CityName,State,0,0,-8,0,0,,187,714,0,0,0,0,0
2022-01-13,JetBlue,N206XX,9855,DEN,CityName,State,ORD,CityName,State,0,0,0,0,1,A,290,1062,0,0,0,0,0
2022-01-13,Delta,N571XX,3196,BOS,CityName,State,SEA,CityName,State,15,1,8,0,0,,172,381,0,0,0,0,0
2022-01-13,United,N101XX,337,ORD,CityName,State,ORD,CityName,State,0,0,1,0,0,,223,1886,0,0,0,0,0
2022-01-13,Southwest,N978XX,2295,DFW,CityName,State,DFW,CityName,State,0,0,0,0,0,,286,605,0,0,0,0,0
2022-01-13,Southwest,N321XX,630,LAX,CityName,State,SEA,CityName,State,0,0,-3,0,0,,263,2735,0,0,0,0,0
2022-01-13,Delta,N196XX,5974,DFW,CityName,State,ATL,CityName,State,0,0,-10,0,0,,205,1948,0,0,0,0,0
2022-01-13,Southwest,N147XX,1480,ORD,CityName,State,ATL,CityName,State,0,0,9,0,0,,90,485,0,0,0,0,0
2022-01-13,JetBlue,N445XX,1751,DFW,CityName,State,MIA,CityName,State,0,0,1,0,0,,72,453,0,0,0,0,0
2022-01-13,Delta,N371XX,3000,DFW,CityName,State,DFW,CityName,State,60,1,60,1,0,,65,228,60,0,0,0,0
2022-01-13,United,N837XX,3531,DFW,CityName,State,LAX,CityName,State,15,1,24,1,0,,191,2816,0,0,0,0,24
2022-01-13,JetBlue,N100XX,6404,SEA,CityName,State,MIA,CityName,State,0,0,-12,0,0,,103,851,0,0,0,0,0
2022-01-13,JetBlue,N803XX,8765,DEN,CityName,State,ORD,CityName,State,45,1,33,1,0,,126,2132,0,0,33,0,0
2022-01-14,American,N879XX,7910,JFK,CityName,State,LAX,CityName,State,0,0,-11,0,0,,224,1983,0,0,0,0,0
2022-01-14,Southwest,N410XX,1064,JFK,CityName,State,MIA,CityName,State,15,1,20,1,0,,297,1445,0,20,0,0,0
2022-01-14,Delta,N494XX,4500,DEN,CityName,State,LAX,CityName,State,0,0,9,0,0,,57,290,0,0,0,0,0
2022-01-14,United,N430XX,6993,SEA,CityName,State,JFK,CityName,State,60,1,63,1,0,,187,2553,0,0,0,0,63
2022-01-14,JetBlue,N936XX,2451,SFO,CityName,State,SEA,CityName,State,0,0,1,0,0,,88,756,0,0,0,0,0
2022-01-14,United,N658XX,5319,BOS,CityName,State,ORD,CityName,State,0,0,7,0,0,,279,731,0,0,0,0,0
2022-01-14,Delta,N177XX,8598,DFW,CityName,State,DEN,CityName,State,0,0,-11,0,0,,243,191,0,0,0,0,0
2022-01-14,United,N236XX,1996,JFK,CityName,State,SEA,CityName,State,60,1,47,1,0,,353,1204,0,0,47,0,0
2022-01-14,United,N550XX,4937,SFO,CityName,State,MIA,CityName,State,0,0,-2,0,0,,219,2300,0,0,0,0,0
2022-01-14,JetBlue,N128XX,5744,MIA,CityName,State,LAX,CityName,State,0,0,-14,0,0,,296,1095,0,0,0,0,0
2022-01-14,Southwest,N975XX,4123,DEN,CityName,State,SFO,CityName,State,0,0,-3,0,0,,325,659,0,0,0,0,0
2022-01-14,Southwest,N416XX,7589,LAX,CityName,State,ATL,CityName,State,0,0,-13,0,0,,270,1677,0,0,0,0,0
2022-01-14,Delta,N510XX,8516,SEA,CityName,State,DFW,CityName,State,0,0,9,0,0,,71,762,0,0,0,0,0
2022-01-14,American,N252XX,4639,SFO,CityName,State,MIA,CityName,State,0,0,-14,0,0,,197,1274,0,0,0,0,0
2022-01-14,Delta,N567XX,9680,JFK,CityName,State,ATL,CityName,State,0,0,1,0,0,,70,1353,0,0,0,0,0
2022-01-14,Delta,N689XX,4501,JFK,CityName,State,DEN,CityName,State,0,0,0,0,1,A,155,1666,0,0,0,0,0
2022-01-14,United,N566XX,4212,ATL,CityName,State,LAX,CityName,State,30,1,20,1,0,,241,857,0,0,0,0,20
2022-01-14,American,N205XX,8754,ATL,CityName,State,ORD,CityName,State,0,0,5,0,0,,220,2237,0,0,0,0,0
2022-01-14,Delta,N793XX,7620,SEA,CityName,State,LAX,CityName,State,15,1,16,1,0,,180,1622,16,0,0,0,0
2022-01-14,JetBlue,N281XX,802,JFK,CityName,State,SFO,CityName,State,45,1,50,1,0,,357,1939,0,0,0,0,50
2022-01-14,American,N805XX,5054,JFK,CityName,State,ORD,CityName,State,0,0,-8,0,0,,247,275,0,0,0,0,0
2022-01-14,JetBlue,N278XX,5985,MIA,CityName,State,LAX,CityName,State,0,0,-10,0,0,,136,2704,0,0,0,0,0
2022-01-15,Delta,N475XX,4742,JFK,CityName,State,ATL,CityName,State,0,0,4,0,0,,197,2775,0,0,0,0,0
2022-01-15,American,N198XX,9614,SFO,CityName,State,LAX,CityName,State,0,0,-10,0,0,,162,2119,0,0,0,0,0
2022-01-15,American,N782XX,6342,MIA,CityName,State,DEN,CityName,State,15,1,13,0,0,,86,1776,0,0,0,0,0
2022-01-15,United,N839XX,8040,LAX,CityName,State,DFW,CityName,State,0,0,-5,0,0,,238,783,0,0,0,0,0
2022-01-15,American,N468XX,216,ORD,CityName,State,DEN,CityName,State,0,0,-12,0,0,,193,2172,0,0,0,0,0
